stop_id,pop_within_200m,pop_within_500m,pop_within_1km
0111BEK,447,2799,13076
0111BPY,0,0,540
0111BUK,0,0,0
0111CEP,0,0,0
0111CNT,678,10009,47893
0111CRA,0,0,844
0111EDH,0,0,0
0111EED,0,0,0
0111ENP,0,0,0
0111EYE,0,0,73
0111FRM,0,0,0
0111GIE,0,0,0
0111GIM,447,3354,15163
0111HDE,0,0,0
0111HRT,0,0,0
0111IAC,0,0,0
0111ICT,0,264,2683
0111IGA,0,0,0
0111IGK,447,2799,11197
0111IME,0,0,0
0111ISE,0,0,0
0111JEK,0,0,0
0111JM,2993,16342,53872
0111KAN,767,4739,19721
0111KAU,0,0,0
0111KEA,0,170,2486
0111KIV,0,0,0
0111KNA,0,68,3798
0111KNE,754,4669,18547
0111KOG,447,2799,11197
0111KRU,447,2799,11197
0111LIS,0,0,0
0111LON,0,0,4
0111LSO,0,0,0
0111MAO,751,4316,16382
0111MCM,0,0,0
0111MIF,0,0,0
0111MKT,0,0,0
0111MME,447,3348,15150
0111MRE,447,3374,15209
0111NDS,0,0,0
0111NKM,1067,6672,24941
0111NMO,722,5140,23233
0111NOI,0,0,0
0111NTA,447,3347,15148
0111.OJ,0,0,0
0111OJC,0,0,0
0111OLB,743,4674,22487
0111OLS,277,1923,7824
0111RAU,617,3879,15613
0111RHK,705,4194,16104
0111RHR,447,2799,11197
0111RNE,0,0,0
0111RNI,0,0,0
0111ROT,447,2799,10790
0111RPS,0,0,0
0111RRY,0,0,0
0111RST,84,809,4685
0111SAR,22,786,3455
0111SNH,0,0,0
0111SPS,1146,6917,26533
0111SPU,0,0,0
0111TNN,768,4712,18718
0111TOE,447,2799,10832
0111TRI,0,0,0
0111TRV,447,2799,10729
0111TUN,447,2799,11197
0111TVI,0,0,0
0111.UK,518,3239,12959
0111UKG,0,0,0
0111USA,0,0,0
0111VMA,447,2799,11197
0111VWS,447,2799,11127
0111WNA,518,3239,12530
0111WRB,0,0,0
0111YSB,211,998,4026
0112LKT,757,5148,23023
0112POL,447,2799,11197
0113BAA,0,0,0
0113GCH,0,70,2762
0113KAR,0,0,0
0113LMD,0,0,0
0113RST,74,760,4557
02002IE,10882,64002,248732
0200AAK,1358,11040,47548
0200ACM,0,0,0
0200AKN,1240,7794,35665
0200AKO,1067,6779,27313
0200APZ,1136,6876,26520
0200AVS,8294,56721,235319
0200BBC,7824,47236,178495
0200BDJ,8274,59129,239690
0200BER,0,0,0
0200BLN,327,1839,7469
0200BUL,3340,18100,55463
0200BWD,0,16,1718
0200CRN,1358,9272,43427
0200DAU,0,0,0
0200DBR,0,0,0
0200DEC,4854,35243,152288
0200DMD,0,0,513
0200DRU,1240,9592,52442
0200EAC,6299,41302,176181
0200EBR,0,0,0
0200EEE,0,0,0
0200EIE,538,3358,13247
0200EII,3340,17762,59330
0200ELH,833,5362,25871
0200EMF,5023,37399,155669
0200EUT,10820,67117,267259
0200FHA,10697,69399,272092
0200FRS,1358,8392,29353
0200GEG,9789,61868,243611
0200GIT,1674,11723,37619
0200GNA,0,0,0
0200GNK,1240,7042,31932
0200GPS,0,0,0
0200GRG,1358,7123,22808
0200GTO,544,3331,12434
