cell_id,lon,lat,inside_nairobi,population_raw,population_corrected,inside_nairobi_dynamic,geometry,index_right,ward,subcounty
831,36.80696097293133,-1.3147394824230534,True,77466.671875,23400.367568367994,True,POINT (36.80696097293133 -1.3147394824230534),1185.0,Nyayo Highrise Ward,Langata  Sub County
832,36.81715414355581,-1.320624669681761,True,32598.029296875,9846.89091564647,True,POINT (36.81715414355581 -1.320624669681761),1169.0,Nairobi West Ward,Langata  Sub County
833,36.82095600002304,-1.3218238651242236,True,29357.583984375,8868.049182003257,True,POINT (36.82095600002304 -1.3218238651242236),1169.0,Nairobi West Ward,Langata  Sub County
834,36.827418381402275,-1.3157754102829038,True,41745.1953125,12609.976534193436,True,POINT (36.827418381402275 -1.3157754102829038),1178.0,South C Ward,Langata  Sub County
835,36.84123884570234,-1.3153451942966299,True,47076.9375,14220.536584696114,True,POINT (36.84123884570234 -1.3153451942966299),1044.0,Nairobi South Ward,Starehe  Sub County
836,36.85171513400512,-1.3158779290852982,True,32088.78125,9693.062292421542,True,POINT (36.85171513400512 -1.3158779290852982),1044.0,Nairobi South Ward,Starehe  Sub County
837,36.85917287176026,-1.3136222525441419,True,27802.142578125,8398.196795727506,True,POINT (36.85917287176026 -1.3136222525441419),1034.0,Viwandani Ward,Makadara  Sub County
838,36.8668967671607,-1.3211786631636555,True,51674.6015625,15609.353561266093,True,POINT (36.8668967671607 -1.3211786631636555),1044.0,Nairobi South Ward,Starehe  Sub County
839,36.871375681034394,-1.3142774785403202,True,85774.3125,25909.85764384965,True,POINT (36.871375681034394 -1.3142774785403202),596.0,Imara Daima Ward,Embakasi South Sub County
840,36.8862080000422,-1.3205855811566178,True,165982.5625,50138.37407016672,True,POINT (36.8862080000422 -1.3205855811566178),1204.0,Kwa Njenga Ward,Embakasi South Sub County
841,36.89006262575993,-1.3205362048872595,True,68384.2421875,20656.836860810312,True,POINT (36.89006262575993 -1.3205362048872595),1208.0,Kware Ward,Embakasi South Sub County
842,36.901911082144814,-1.3203806801921536,True,20485.9375,6188.189783809707,True,POINT (36.901911082144814 -1.3203806801921536),1030.0,Utawala Ward,Embakasi East Sub County
843,36.907101195972245,-1.3222360211298103,True,12777.7880859375,3859.788095764903,True,POINT (36.907101195972245 -1.3222360211298103),1029.0,Embakasi Ward,Embakasi East Sub County
844,36.923395870359094,-1.3218678976302516,True,10770.46484375,3253.4357050037547,True,POINT (36.923395870359094 -1.3218678976302516),1029.0,Embakasi Ward,Embakasi East Sub County
845,36.93166040693685,-1.319358374311998,True,6858.74169921875,2071.820990027676,True,POINT (36.93166040693685 -1.319358374311998),1029.0,Embakasi Ward,Embakasi East Sub County
846,36.94022352155834,-1.3201965512302114,True,4179.1669921875,1262.4015125443698,True,POINT (36.94022352155834 -1.3201965512302114),1029.0,Embakasi Ward,Embakasi East Sub County
847,36.94439038016684,-1.3189933268243137,True,2463.802490234375,744.2411361156048,True,POINT (36.94439038016684 -1.3189933268243137),1029.0,Embakasi Ward,Embakasi East Sub County
848,36.9597315808109,-1.3144502225145847,False,1176.121337890625,355.2711242849086,True,POINT (36.9597315808109 -1.3144502225145847),1029.0,Embakasi Ward,Embakasi East Sub County
849,36.960859071159746,-1.3165944345478162,False,793.9842529296875,239.83892572577037,True,POINT (36.960859071159746 -1.3165944345478162),1029.0,Embakasi Ward,Embakasi East Sub County
850,36.97176707560015,-1.3134459951440887,False,539.089111328125,162.84271741450723,True,POINT (36.97176707560015 -1.3134459951440887),1029.0,Embakasi Ward,Embakasi East Sub County
851,36.97862229319365,-1.3215086973064356,False,376.6932373046875,113.78777479522587,True,POINT (36.97862229319365 -1.3215086973064356),,,
864,36.67144075012681,-1.324650277135896,False,9842.267578125,2973.055037216365,True,POINT (36.67144075012681 -1.324650277135896),,,
865,36.6813647078803,-1.3258925328518227,False,8117.44580078125,2452.037900390135,True,POINT (36.6813647078803 -1.3258925328518227),1100.0,Karen Ward,Langata  Sub County
866,36.69181287727777,-1.3229467466037081,False,2491.689453125,752.664954594073,True,POINT (36.69181287727777 -1.3229467466037081),1100.0,Karen Ward,Langata  Sub County
867,36.7008557201559,-1.3280116027476045,False,2032.60498046875,613.9892487057253,True,POINT (36.7008557201559 -1.3280116027476045),1100.0,Karen Ward,Langata  Sub County
868,36.70649905673785,-1.3304768515831902,False,2624.66552734375,792.833054490482,True,POINT (36.70649905673785 -1.3304768515831902),1100.0,Karen Ward,Langata  Sub County
869,36.713688328413106,-1.3249528052663682,False,2374.192138671875,717.1725256572033,True,POINT (36.713688328413106 -1.3249528052663682),1100.0,Karen Ward,Langata  Sub County
870,36.72679065203149,-1.3240343818678968,False,1230.8154296875,371.7925756508601,True,POINT (36.72679065203149 -1.3240343818678968),1100.0,Karen Ward,Langata  Sub County
871,36.732997025002426,-1.3224088879560418,False,822.124267578125,248.3391835813709,True,POINT (36.732997025002426 -1.3224088879560418),1100.0,Karen Ward,Langata  Sub County
872,36.74409364979144,-1.330139424593866,False,1503.946533203125,454.29732333038714,True,POINT (36.74409364979144 -1.330139424593866),1100.0,Karen Ward,Langata  Sub County
873,36.75410163658521,-1.3283762965575518,True,1777.3382568359375,536.8807965623395,True,POINT (36.75410163658521 -1.3283762965575518),1100.0,Karen Ward,Langata  Sub County
874,36.762366911700866,-1.3276438959272703,True,1781.8709716796875,538.2499943200215,True,POINT (36.762366911700866 -1.3276438959272703),1100.0,Karen Ward,Langata  Sub County
875,36.769033386938744,-1.3279673253702937,True,4866.61474609375,1470.0589442643281,True,POINT (36.769033386938744 -1.3279673253702937),1170.0,Mugumo-ini Ward,Langata  Sub County
876,36.77636354420977,-1.3291047230821076,True,13140.9951171875,3969.5020905571405,True,POINT (36.77636354420977 -1.3291047230821076),1170.0,Mugumo-ini Ward,Langata  Sub County
877,36.784558394737495,-1.3227132785132991,True,22893.859375,6915.551055271503,True,POINT (36.784558394737495 -1.3227132785132991),1170.0,Mugumo-ini Ward,Langata  Sub County
878,36.79862192907374,-1.322980238316347,True,22123.646484375,6682.892748024195,True,POINT (36.79862192907374 -1.322980238316347),1170.0,Mugumo-ini Ward,Langata  Sub County
879,36.80750131852062,-1.329426796604361,True,14505.474609375,4381.670586813294,True,POINT (36.80750131852062 -1.329426796604361),1169.0,Nairobi West Ward,Langata  Sub County
880,36.81093381123709,-1.328317597115876,True,10787.453125,3258.567357312844,True,POINT (36.81093381123709 -1.328317597115876),1169.0,Nairobi West Ward,Langata  Sub County
881,36.81817563974218,-1.3306349462734326,True,15118.5908203125,4566.874679758103,True,POINT (36.81817563974218 -1.3306349462734326),1169.0,Nairobi West Ward,Langata  Sub County
882,36.83170670380125,-1.3252983390960413,True,16721.7109375,5051.129380398457,True,POINT (36.83170670380125 -1.3252983390960413),1178.0,South C Ward,Langata  Sub County
883,36.8409323308797,-1.3298861123356744,True,14721.3466796875,4446.879090945344,True,POINT (36.8409323308797 -1.3298861123356744),1170.0,Mugumo-ini Ward,Langata  Sub County
884,36.84801733760755,-1.3251172953456056,True,14457.3359375,4367.129331988952,True,POINT (36.84801733760755 -1.3251172953456056),1044.0,Nairobi South Ward,Starehe  Sub County
885,36.85495636155238,-1.323029137857221,True,17077.6875,5158.659266562476,True,POINT (36.85495636155238 -1.323029137857221),1044.0,Nairobi South Ward,Starehe  Sub County
886,36.869633503058814,-1.3298975996595974,True,24460.861328125,7388.8955374333755,True,POINT (36.869633503058814 -1.3298975996595974),1044.0,Nairobi South Ward,Starehe  Sub County
887,36.8777779338952,-1.328698440165067,True,40479.2578125,12227.574630231677,True,POINT (36.8777779338952 -1.328698440165067),596.0,Imara Daima Ward,Embakasi South Sub County
888,36.88312680048301,-1.3284675324246353,True,101688.90625,30717.181031282213,True,POINT (36.88312680048301 -1.3284675324246353),596.0,Imara Daima Ward,Embakasi South Sub County
889,36.891487808949186,-1.3243845471440057,True,67559.625,20407.74464058649,True,POINT (36.891487808949186 -1.3243845471440057),1208.0,Kware Ward,Embakasi South Sub County
890,36.90464291774102,-1.3253146331935792,True,24565.2265625,7420.421157246688,True,POINT (36.90464291774102 -1.3253146331935792),1029.0,Embakasi Ward,Embakasi East Sub County
891,36.914951622428866,-1.324995952599063,True,10875.4208984375,3285.139793985094,True,POINT (36.914951622428866 -1.324995952599063),1029.0,Embakasi Ward,Embakasi East Sub County
892,36.92434191822096,-1.3249613363125146,True,11188.654296875,3379.7582470658444,True,POINT (36.92434191822096 -1.3249613363125146),1029.0,Embakasi Ward,Embakasi East Sub County
893,36.93212264961821,-1.3287803211298699,True,7620.49755859375,2301.9246807541344,True,POINT (36.93212264961821 -1.3287803211298699),1029.0,Embakasi Ward,Embakasi East Sub County
894,36.937501489909344,-1.3285434202863622,True,5588.99951171875,1688.2698036218947,True,POINT (36.937501489909344 -1.3285434202863622),1029.0,Embakasi Ward,Embakasi East Sub County
895,36.95006781331259,-1.3250673469389715,False,3827.58544921875,1156.1992304972205,True,POINT (36.95006781331259 -1.3250673469389715),1029.0,Embakasi Ward,Embakasi East Sub County
896,36.95231034898142,-1.3240225807759163,False,1430.8851318359375,432.22765639270125,True,POINT (36.95231034898142 -1.3240225807759163),1029.0,Embakasi Ward,Embakasi East Sub County
897,36.96028257726181,-1.3264831829076613,False,841.5813598632812,254.21658995838666,True,POINT (36.96028257726181 -1.3264831829076613),,,
898,36.969602466204385,-1.3289492663199591,False,538.1029052734375,162.5448140243232,True,POINT (36.969602466204385 -1.3289492663199591),,,
912,36.67073933251628,-1.3370988286499494,False,23882.888671875,7214.307262587394,True,POINT (36.67073933251628 -1.3370988286499494),,,
913,36.6757290530758,-1.3378637441850785,False,19331.615234375,5839.503508096686,True,POINT (36.6757290530758 -1.3378637441850785),,,
914,36.68870248054681,-1.336692940644799,False,5502.7001953125,1662.2013579803456,True,POINT (36.68870248054681 -1.336692940644799),1100.0,Karen Ward,Langata  Sub County
915,36.69337271054301,-1.33947980456452,False,1793.697998046875,541.8225857007322,True,POINT (36.69337271054301 -1.33947980456452),1100.0,Karen Ward,Langata  Sub County
916,36.7096435711938,-1.3380134196213147,False,2000.21630859375,604.2055984135169,True,POINT (36.7096435711938 -1.3380134196213147),1100.0,Karen Ward,Langata  Sub County
917,36.71177338301827,-1.3325260276488895,False,2014.50048828125,608.520422414727,True,POINT (36.71177338301827 -1.3325260276488895),1100.0,Karen Ward,Langata  Sub County
918,36.727720358454,-1.3333567152795205,False,1236.4234619140625,373.4865946691105,True,POINT (36.727720358454 -1.3333567152795205),1100.0,Karen Ward,Langata  Sub County
919,36.732423199951135,-1.3346692420909052,False,1210.2978515625,365.5948281793742,True,POINT (36.732423199951135 -1.3346692420909052),1100.0,Karen Ward,Langata  Sub County
920,36.74488728452966,-1.3327415698973177,False,1923.663818359375,581.0813778112841,True,POINT (36.74488728452966 -1.3327415698973177),1100.0,Karen Ward,Langata  Sub County
921,36.75062308633969,-1.337505949377823,True,2316.356201171875,699.7020165543343,True,POINT (36.75062308633969 -1.337505949377823),1100.0,Karen Ward,Langata  Sub County
922,36.76214782814269,-1.3379205848823914,True,2748.138671875,830.1306031900785,True,POINT (36.76214782814269 -1.3379205848823914),1100.0,Karen Ward,Langata  Sub County
923,36.76480387643913,-1.3378700652488,True,3789.971435546875,1144.8371605342338,True,POINT (36.76480387643913 -1.3378700652488),1100.0,Karen Ward,Langata  Sub County
924,36.779427263236336,-1.3384336011886262,True,4075.648193359375,1231.1315756259128,True,POINT (36.779427263236336 -1.3384336011886262),1170.0,Mugumo-ini Ward,Langata  Sub County
925,36.78449116114707,-1.33682187727558,True,3819.5537109375,1153.7730822783135,True,POINT (36.78449116114707 -1.33682187727558),1170.0,Mugumo-ini Ward,Langata  Sub County
926,36.795411231386495,-1.3361617851522054,True,2960.254638671875,894.2045006485347,True,POINT (36.795411231386495 -1.3361617851522054),1170.0,Mugumo-ini Ward,Langata  Sub County
927,36.8032017466918,-1.337528461375261,True,3307.5849609375,999.12261590938,True,POINT (36.8032017466918 -1.337528461375261),1170.0,Mugumo-ini Ward,Langata  Sub County
928,36.813013545058865,-1.3387944632804623,True,2767.924560546875,836.1073291340532,True,POINT (36.813013545058865 -1.3387944632804623),1170.0,Mugumo-ini Ward,Langata  Sub County
929,36.819598159274356,-1.3388634314992793,True,4716.66064453125,1424.7622894576139,True,POINT (36.819598159274356 -1.3388634314992793),1170.0,Mugumo-ini Ward,Langata  Sub County
930,36.83126675718866,-1.336429212210038,True,4933.05810546875,1490.1294984035455,True,POINT (36.83126675718866 -1.336429212210038),1170.0,Mugumo-ini Ward,Langata  Sub County
931,36.83544452965244,-1.33283792088938,True,2817.332275390625,851.0319239317029,True,POINT (36.83544452965244 -1.33283792088938),1170.0,Mugumo-ini Ward,Langata  Sub County
932,36.85298567281236,-1.3329508204858571,True,3308.223876953125,999.3156133526555,True,POINT (36.85298567281236 -1.3329508204858571),1170.0,Mugumo-ini Ward,Langata  Sub County
933,36.85590166804592,-1.3377986581396573,True,7406.6025390625,2237.3133846066644,True,POINT (36.85590166804592 -1.3377986581396573),1170.0,Mugumo-ini Ward,Langata  Sub County
934,36.86904600175025,-1.3347574281273424,True,13208.625,3989.931057984214,True,POINT (36.86904600175025 -1.3347574281273424),1178.0,South C Ward,Langata  Sub County
935,36.874565666691865,-1.3361981272513517,True,19298.6796875,5829.554663202667,True,POINT (36.874565666691865 -1.3361981272513517),1178.0,South C Ward,Langata  Sub County
936,36.88017892410465,-1.3318995757232448,True,44741.546875,13515.084837280114,True,POINT (36.88017892410465 -1.3318995757232448),1178.0,South C Ward,Langata  Sub County
937,36.895512045417746,-1.3314632727263305,True,38725.1328125,11697.705865156844,True,POINT (36.895512045417746 -1.3314632727263305),951.0,Pipeline Ward,Embakasi South Sub County
938,36.9016555388625,-1.3382203730686717,True,35116.3828125,10607.610287040232,True,POINT (36.9016555388625 -1.3382203730686717),951.0,Pipeline Ward,Embakasi South Sub County
939,36.91344396725195,-1.3344822606197855,True,26232.19140625,7923.961442677301,True,POINT (36.91344396725195 -1.3344822606197855),1029.0,Embakasi Ward,Embakasi East Sub County
940,36.91885498872051,-1.3320961808614409,True,16268.259765625,4914.155326403935,True,POINT (36.91885498872051 -1.3320961808614409),1029.0,Embakasi Ward,Embakasi East Sub County
941,36.926466178253236,-1.3360899868141443,True,7435.9296875,2246.1722401190964,True,POINT (36.926466178253236 -1.3360899868141443),1029.0,Embakasi Ward,Embakasi East Sub County
942,36.93805970187337,-1.336456408169741,True,5079.28662109375,1534.300764985428,True,POINT (36.93805970187337 -1.336456408169741),1029.0,Embakasi Ward,Embakasi East Sub County
943,36.948278795878984,-1.3338292554943205,True,3578.751708984375,1081.0339904790121,True,POINT (36.948278795878984 -1.3338292554943205),,,
944,36.95509224061149,-1.3320546802295112,False,1600.440673828125,483.4453208390744,True,POINT (36.95509224061149 -1.3320546802295112),,,
945,36.96889944455926,-1.33530419876535,False,1010.111572265625,305.1245329632632,True,POINT (36.96889944455926 -1.33530419876535),,,
960,36.67070490521986,-1.3465264266738153,False,24864.908203125,7510.94602909651,True,POINT (36.67070490521986 -1.3465264266738153),,,
961,36.683859791356255,-1.3450831650107942,False,17202.810546875,5196.4552014759265,True,POINT (36.683859791356255 -1.3450831650107942),,,
962,36.69020452823945,-1.346367030769283,False,7289.44970703125,2201.9250135194175,True,POINT (36.69020452823945 -1.346367030769283),1100.0,Karen Ward,Langata  Sub County
963,36.69316388657422,-1.3437533681239706,False,2599.36083984375,785.1892642724363,True,POINT (36.69316388657422 -1.3437533681239706),1100.0,Karen Ward,Langata  Sub County
964,36.705237760688604,-1.3443881137759683,False,2199.040283203125,664.2643820769043,True,POINT (36.705237760688604 -1.3443881137759683),1100.0,Karen Ward,Langata  Sub County
965,36.71157104640507,-1.3447379938618989,False,2245.205078125,678.2093876353375,True,POINT (36.71157104640507 -1.3447379938618989),1100.0,Karen Ward,Langata  Sub County
966,36.72108991664545,-1.3409639267940852,False,2499.539794921875,755.0363083535403,True,POINT (36.72108991664545 -1.3409639267940852),1100.0,Karen Ward,Langata  Sub County
967,36.735315743063026,-1.3412081219195688,False,2788.13330078125,842.2117859040703,True,POINT (36.735315743063026 -1.3412081219195688),1100.0,Karen Ward,Langata  Sub County
968,36.742144032443896,-1.3399788788347138,False,2950.753173828125,891.3343919372628,True,POINT (36.742144032443896 -1.3399788788347138),1100.0,Karen Ward,Langata  Sub County
969,36.7521308872346,-1.3472918218748564,True,3606.6044921875,1089.4474842948673,True,POINT (36.7521308872346 -1.3472918218748564),1100.0,Karen Ward,Langata  Sub County
970,36.76338804133347,-1.3424797558332242,True,5681.7109375,1716.2751559696678,True,POINT (36.76338804133347 -1.3424797558332242),1100.0,Karen Ward,Langata  Sub County
971,36.76745196454958,-1.3460922070132852,True,5407.54638671875,1633.4582347412736,True,POINT (36.76745196454958 -1.3460922070132852),1170.0,Mugumo-ini Ward,Langata  Sub County
972,36.77356046215537,-1.3415303086421018,True,764.2257690429688,230.8497766585403,True,POINT (36.77356046215537 -1.3415303086421018),1170.0,Mugumo-ini Ward,Langata  Sub County
973,36.78514493613618,-1.3423964790920102,True,656.8966064453125,198.42884266459117,True,POINT (36.78514493613618 -1.3423964790920102),1170.0,Mugumo-ini Ward,Langata  Sub County
974,36.794367743945294,-1.3489763689419434,True,583.4186401367188,176.23334390130765,True,POINT (36.794367743945294 -1.3489763689419434),1170.0,Mugumo-ini Ward,Langata  Sub County
975,36.80211054811672,-1.3461633400820103,True,468.27081298828125,141.45062489770592,True,POINT (36.80211054811672 -1.3461633400820103),1170.0,Mugumo-ini Ward,Langata  Sub County
976,36.810894258164446,-1.3422533016974132,True,394.12628173828125,119.05377677656871,True,POINT (36.810894258164446 -1.3422533016974132),1170.0,Mugumo-ini Ward,Langata  Sub County
977,36.81804596772189,-1.3439919516944805,True,397.5472412109375,120.08714644586104,True,POINT (36.81804596772189 -1.3439919516944805),1170.0,Mugumo-ini Ward,Langata  Sub County
978,36.83514517172158,-1.3400872112335405,True,364.5869445800781,110.1308253898966,True,POINT (36.83514517172158 -1.3400872112335405),1170.0,Mugumo-ini Ward,Langata  Sub County
979,36.843287259285454,-1.340909062948619,True,333.1467590332031,100.63368448520266,True,POINT (36.843287259285454 -1.340909062948619),1170.0,Mugumo-ini Ward,Langata  Sub County
980,36.84751371733024,-1.3448664385145501,True,439.2310485839844,132.67857951726333,True,POINT (36.84751371733024 -1.3448664385145501),1170.0,Mugumo-ini Ward,Langata  Sub County
981,36.86013084333913,-1.347430565837466,True,1075.38232421875,324.84087742725984,True,POINT (36.86013084333913 -1.347430565837466),1170.0,Mugumo-ini Ward,Langata  Sub County
982,36.864775088532554,-1.3407709032099175,True,3962.470703125,1196.9440365481632,True,POINT (36.864775088532554 -1.3407709032099175),1170.0,Mugumo-ini Ward,Langata  Sub County
983,36.87491038035017,-1.3409199507726044,True,8880.7138671875,2682.598383689635,True,POINT (36.87491038035017 -1.3409199507726044),1178.0,South C Ward,Langata  Sub County
984,36.88393725542513,-1.3450709486308212,True,19715.994140625,5955.612893901861,True,POINT (36.88393725542513 -1.3450709486308212),1178.0,South C Ward,Langata  Sub County
985,36.889188311280456,-1.3471532795080354,True,19617.58203125,5925.885535325397,True,POINT (36.889188311280456 -1.3471532795080354),1178.0,South C Ward,Langata  Sub County
986,36.90258781613202,-1.3404616622764254,True,39450.33984375,11916.769246655895,True,POINT (36.90258781613202 -1.3404616622764254),951.0,Pipeline Ward,Embakasi South Sub County
