stop_id,lat,lon,ward,is_existing_stop,nearest_node_degree,road_type,distance_to_major_road,distance_to_nearest_stop,stops_within_500m,stops_within_1km,pop_not_served_nearby,poverty_rate_weighted_pop,route_count_serving,trips_per_day,avg_headway_minutes,service_span_hours,routes_within_500m,avg_speed_daily,avg_speed_peak,avg_speed_offpeak,congestion_pct_daily,congestion_pct_peak,trip_count_daily,trip_count_peak,demand_variability_cv,dominant_congestion_level,ward_pct_access,ward_population,ward_poverty_rate,is_benchmark_ward,ward_category,distance_to_cbd,coverage_efficiency_nearby,demand_supply_ratio,network_accessibility,is_good_stop,pop_within_500m,subcounty_gini,trips_per_1k_pop_per_hour
0401SDA,-1.287959218,36.83852077,Pumwani Ward,True,3,secondary,27.824392389809358,27.23702647093896,16,49,303,3008.1746171311997,4,4,360.0,0,4,,,,,,,,,,98.14761740876688,54693.254146881605,9.3,True,well_served,2.3764960169987943,1.9629523481753373,4677.0,0.1040785165365923,1,23385,0.21871575017939537,19.307682756708104
0401SEE,-1.323766708,36.84567153,Nairobi South Ward,True,3,trunk,33.019998835300655,16.30111330979271,20,76,1890,1494.083346583214,1,1,1440.0,0,1,,,,,,,,,,88.83591703745924,56437.63657436855,20.0,True,adequately_served,5.223177774973724,1.1537132082786914,2814.0,0.0881834245357782,1,5628,0.08231028091418335,35.93346786107317
0401SHL,-1.314969063,36.86001062,Viwandani Ward,True,3,secondary,33.176971243154114,23.12300122790681,8,25,2181,953.5830512180206,1,1,1440.0,0,1,,,,,,,,,,92.3453774320186,94974.05629043338,7.3,True,well_served,5.721944604680766,3.551745285846869,6059.5,0.087778404313721,1,12119,0.029576600795033103,10.61342475378231
0401SIX,-1.262577,36.886961,Kariobangi South Ward,True,8,tertiary,141.8778370403163,3.3759332045807446,25,71,0,2890.379343947788,1,1,1440.0,0,1,,,,,,,,,,100.0,80891.31265297219,6.4,True,well_served,8.195092347173274,1.3888888888888888,27670.5,0.0559918890551416,1,55341,0.08383073353009918,13.054553886772654
0401SLT,-1.308585405,36.82831764,Landimawe Ward,True,4,unclassified,18.40289605257233,2.6631247691577675,15,84,1605,1460.3630618359082,1,1,1440.0,0,1,,,,,,,,,,89.63594611695733,51643.83141519055,20.0,True,adequately_served,2.7591822656092915,1.0545405425524392,3920.0,0.2061547920043462,1,7840,0.08231028091418335,19.053582451873734
0401SMJ,-1.282607085,36.88683271,Umoja I Ward,True,6,tertiary,404.25542932779166,3.653658438909337,25,85,0,2130.2838191097644,1,1,1440.0,0,1,,,,,,,,,,99.99999999999991,62143.09174286492,6.4,True,well_served,7.752339258928083,1.1627906976744178,16197.5,0.0148054771528967,1,32395,0.08383073353009918,18.924066489418347
0401SNI,-1.306552,36.87874,Viwandani Ward,True,6,unclassified,494.1492067017043,51.30169751597741,7,12,2181,953.5830512180206,1,1,1440.0,0,1,,,,,,,,,,92.3453774320186,94974.05629043338,7.3,True,well_served,7.198818207568295,7.103490571693738,6602.5,0.0121175595533461,1,13205,0.029576600795033103,10.61342475378231
0401SOS,-1.271641,36.878322,Harambee Ward,True,6,tertiary,294.6543731716637,7.977660356753457,38,81,12,2149.886430498332,1,1,1440.0,0,1,,,,,,,,,,99.974015693587,153059.43940013353,7.3,True,well_served,6.990142902701626,1.2191953133364268,15746.0,0.0202939666869607,1,31492,0.029576600795033103,13.328155440756309
0401SOY,-1.286972165,36.88922524,Umoja Ii Ward,True,6,residential,535.3711421722028,10.398550775198276,17,84,0,1858.116337795728,1,1,1440.0,0,1,,,,,,,,,,100.0,61300.6889507025,6.4,True,,8.007074646735948,1.1764705882352944,15075.0,0.0111862841384439,1,30150,0.08383073353009918,13.70294550319852
0401SPE,-1.165307,36.958585,Kahawa West,True,4,primary,9.796641418369347,22.570151638910723,9,19,11984,405.62379022513335,1,1,1440.0,0,1,,,,,,,,,,30.372611674609445,57375.0964702776,12.5,False,severely_underserved,20.69662195107553,1.5186305837304723,0.0,0.3704855838959717,0,0,0.14000414860742105,5.437899353452546
