stop_id,ward
0201KS2,Zimmerman Ward
0201KSR,Roysambu Ward
0201KSS,Roysambu Ward
0201KSU,Karura Ward
0201KWH,Roysambu Ward
0201MET,Kasarani Ward
0201MGN,Roysambu Ward
0201MJM,Clay City
0201MLM,Mwiki Ward
0201MML,Ngara Ward Ward
0201MNO,Karura Ward
0201MOS,Lucky Summer Ward
0201MRT,Clay City
0201MSH,Roysambu Ward
0201MSQ,Utalii Ward
0201MTR,Kasarani Ward
0201NAS,Kasarani Ward
0201NBN,Utalii Ward
0201NEH,Roysambu Ward
0201NIO,Kiamaiko Ward
0201NTR,Roysambu Ward
0201NVS,Utalii Ward
0201NYT,Roysambu Ward
0201OER,Ngara Ward Ward
0201PME,Eastleigh North Ward
0201PNG,Karura Ward
0201POS,Karura Ward
0201PPS,Kasarani Ward
0201RAK,Parklands/highridge Ward
0201RDS,Karura Ward
0201RET,Githurai Ward
0201REV,Utalii Ward
0201RGC,Kasarani Ward
0201RIL,Githurai Ward
0201RKN,Roysambu Ward
0201RND,Roysambu Ward
0201RNK,Kiamaiko Ward
0201ROC,Roysambu Ward
0201RRP,Roysambu Ward
0201RSB,Zimmerman Ward
0201RST,Roysambu Ward
0201RUK,Roysambu Ward
0201RYB,Parklands/highridge Ward
0201RZA,Ziwani/kariokor
0201SDP,Ngara Ward Ward
0201SHL,Kasarani Ward
0201SHP,Kariobangi North Ward
0201SPH,Kahawa West
0201SSN,Clay City
0201STM,Roysambu Ward
0201SUN,Clay City
0201TEH,Roysambu Ward
0201TIN,Clay City
0201TIU,Ngara Ward Ward
0201TJA,Lucky Summer Ward
0201TKS,Ruai Ward
0201UCP,Babandogo
0201UGC,Roysambu Ward
0201UOA,Nairobi Central Ward
0201URI,Kariobangi North Ward
0201VRS,Babandogo
0201WAA,Babandogo
0201WJY,Roysambu Ward
0201WOA,Clay City
0201YTU,Kiamaiko Ward
0201YUE,Utalii Ward
0202LUT,Nairobi Central Ward
0202RSB,Kasarani Ward
0203SND,Clay City
02107SA,Embakasi Ward
0210ABI,Lucky Summer Ward
0210ACO,Karura Ward
0210AEC,Kiamaiko Ward
0210AFY,Mihango Ward
0210AIC,Embakasi Ward
0210AIE,Utalii Ward
0210AIK,Roysambu Ward
0210AIT,Mihango Ward
0210AKC,Utalii Ward
0210AKE,Mihango Ward
0210ALS,Utalii Ward
0210AMC,Kahawa West
0210AMJ,Kahawa West
0210ANI,Utalii Ward
0210ANR,Karura Ward
0210ANT,Embakasi Ward
0210APB,Kahawa West
0210ARA,Embakasi Ward
0210ARG,Babandogo
0210ARH,Clay City
0210ARI,Karura Ward
0210ARM,Pipeline Ward
0210AS3,Dandora Area I Ward
0210ASR,Kasarani Ward
0210ASV,Utalii Ward
0210AUI,Utalii Ward
0210AWR,Kahawa West
0210AYA,Ruai Ward
0210BBD,Lucky Summer Ward
0210CAH,Pangani Ward
0210CAK,Utalii Ward
0210CID,Karura Ward
0210CIJ,Utalii Ward
0210CKA,Utalii Ward
0210CLM,Kahawa West
0210CLY,Kahawa West
0210CRH,Clay City
0210CRI,Karura Ward
0210DBR,Karura Ward
0210DGU,Ruai Ward
0210DIE,Kahawa West
0210DLO,Kasarani Ward
0210DOE,Kahawa West
0210DRV,Utalii Ward
0210EC/,Mihango Ward
0210EIW,Mihango Ward
0210EKE,Embakasi Ward
0210EKT,Kariobangi North Ward
0210ENE,Nairobi Central Ward
0210EOS,Clay City
0210EOV,Karura Ward
0210ERI,Githurai Ward
0210ERV,Roysambu Ward
0210EXL,Utalii Ward
0210FAR,Kasarani Ward
0210FBO,Roysambu Ward
0210FIG,Ngara Ward Ward
0210FLY,Kahawa West
0210FNO,Clay City
0210GAO,Pangani Ward
0210GEN,Mwiki Ward
0210GIT,Githurai Ward
0210GNN,Pangani Ward
0210GPN,Pangani Ward
0210GRG,Eastleigh North Ward
0210HAS,Clay City
0210HAU,Kahawa West
0210HAW,Clay City
0210HER,Karura Ward
0210HFI,Zimmerman Ward
0210HHE,Karura Ward
0210HIP,Ruai Ward
0210HLE,Mihango Ward
0210HUN,Clay City
0210HUT,Githurai Ward
0210HWA,Kahawa West
0210HWD,Kahawa West
0210HWK,Kahawa West
0210IEL,Kasarani Ward
0210IES,Ngara Ward Ward
0210IHW,Karura Ward
0210IIA,Utalii Ward
0210IJI,Karura Ward
0210IKS,Parklands/highridge Ward
0210ILA,Roysambu Ward
0210IMT,Mwiki Ward
0210INA,Ngara Ward Ward
0210IRI,Clay City
0210ISD,Ngara Ward Ward
0210ITI,Utalii Ward
0210IVN,Utalii Ward
0210IYU,Kahawa West
0210JKT,Kahawa West
0210JTS,Mwiki Ward
0210KAD,Karura Ward
0210KAF,Mihango Ward
0210KAH,Kahawa West
0210KBM,Kariobangi North Ward
0210KBO,Kahawa West
0210KCA,Utalii Ward
0210KDO,Zimmerman Ward
0210KEB,Mwiki Ward
0210KJA,Ngara Ward Ward
0210KLI,Karura Ward
0210KPO,Karura Ward
0210KRB,Eastleigh North Ward
0210KU.,Kahawa West
0210KWD,Kahawa West
0210KYR,Kahawa West
0210KYS,Embakasi Ward
0210LGC,Parklands/highridge Ward
0210LH',Karura Ward
0210LOA,Utalii Ward
0210LSL,Utalii Ward
0210LUI,Ngara Ward Ward
0210MBL,Kahawa West
0210MET,Kasarani Ward
0210MF,Pangani Ward
0210MGC,Karura Ward
0210MIN,Mihango Ward
0210MNG,Ruai Ward
0210MQT,Roysambu Ward
0210MSL,Roysambu Ward
0210MTG,Hospital Ward
0210NAK,Ruai Ward
0210NAM,Pipeline Ward
0210NAS,Kasarani Ward
0210NCY,Mwiki Ward
0210NGE,Roysambu Ward
0210NGR,Ngara Ward Ward
0210NID,Utalii Ward
0210NIG,Karura Ward
0210NIM,Karura Ward
0210NIR,Roysambu Ward
0210NRS,Kariobangi North Ward
0210NTR,Roysambu Ward
0210NUR,Ngara Ward Ward
0210NWK,Kahawa West
0210OIK,Mihango Ward
0210OLT,Kahawa West
0210ONR,Mwiki Ward
0210OOI,Karura Ward
0210OON,Ruai Ward
0210OUN,Lucky Summer Ward
0210OUS,Karura Ward
0210OUU,Kahawa West
0210-P0,Ruai Ward
0210PA.,Mihango Ward
0210PAS,Kasarani Ward
0210PMH,Ziwani/kariokor
0210PMS,Pumwani Ward
0210PNG,Pangani Ward
0210PPS,Kasarani Ward
0210PRS,Kahawa West
0210PSK,Roysambu Ward
0210PYS,Ruai Ward
0210RAO,Mihango Ward
0210RAT,Kasarani Ward
0210RBA,Zimmerman Ward
0210RBU,Roysambu Ward
0210RIH,Babandogo
0210RMT,Kasarani Ward
0210RNA,Roysambu Ward
0210RND,Kiamaiko Ward
0210RSB,Kasarani Ward
0210RSC,Roysambu Ward
0210RSI,Roysambu Ward
0210RV2,Utalii Ward
0210RYS,Kasarani Ward
0210SAE,Kasarani Ward
0210SAI,Kahawa West
0210SAO,Kasarani Ward
0210SAP,Utalii Ward
0210SAR,Kasarani Ward
0210SBA,Embakasi Ward
0210SEW,Kahawa West
0210SHA,Kahawa West
0210SKA,Babandogo
0210SMB,Ngara Ward Ward
0210SMW,Mwiki Ward
0210SRA,Kasarani Ward
0210S/T,Nairobi Central Ward
0210STD,Kasarani Ward
0210SUN,Clay City
0210SUR,Utalii Ward
0210TAE,Kasarani Ward
0210TDL,Parklands/highridge Ward
0210TEE,Eastleigh North Ward
0210TER,Eastleigh North Ward
0210TGA,Karura Ward
0210TIB,Karura Ward
0210TIG,Zimmerman Ward
0210TMR,Kasarani Ward
0210TRT,Kahawa West
0210TUH,Roysambu Ward
0210TYE,Kasarani Ward
0210UIK,Karura Ward
0210UKO,Kahawa West
0210/US,Kasarani Ward
0210USG,Mihango Ward
0210UWT,Nairobi Central Ward
0210UYU,Eastleigh North Ward
0210VIS,Utalii Ward
0210VNA,Kasarani Ward
0210WDH,Kahawa West
0210WOK,Clay City
0210WPE,Babandogo
0210WTH,Ruai Ward
0210YPS,Kahawa West
0210ZMM,Clay City
0211AAA,Kahawa West
0211AAJ,Kahawa West
0211AAW,Kahawa West
0211ACB,Embakasi Ward
0211ACD,Babandogo
0211ADI,Kahawa West
0211AEC,Karura Ward
0211AEP,Karura Ward
0211AFY,Ruai Ward
0211AGA,Ngara Ward Ward
0211AGC,Utalii Ward
0211AHN,Embakasi Ward
0211AIC,Roysambu Ward
0211AIK,Kahawa West
0211AKW,Zimmerman Ward
0211ALN,Karura Ward
0211ALS,Roysambu Ward
0211AMN,Mihango Ward
0211'AN,Karura Ward
0211ANN,Karura Ward
0211ANP,Karura Ward
0211ANS,Clay City
0211.AP,Mihango Ward
0211ARS,Roysambu Ward
0211ASP,Roysambu Ward
0211AUR,Ngara Ward Ward
0211AVA,Babandogo
0211AWA,Kahawa West
0211BHC,Babandogo
0211BLA,Karura Ward
0211BLR,Roysambu Ward
0211B/O,Parklands/highridge Ward
0211B/W,Karura Ward
0211BYP,Kahawa West
0211CID,Karura Ward
0211CKS,Kahawa West
0211CLA,Mihango Ward
0211CTT,Parklands/highridge Ward
0211CYE,Roysambu Ward
0211DBR,Karura Ward
0211DEV,Kariobangi North Ward
0211DRN,Utalii Ward
0211DRV,Roysambu Ward
0211EAR,Roysambu Ward
0211EIN,Roysambu Ward
0211EKO,Embakasi Ward
0211END,Mwiki Ward
0211ERC,Mwiki Ward
0211EVE,Roysambu Ward
0211FLY,Kahawa West
0211FNT,Pipeline Ward
0211G'F,Karura Ward
0211GIT,Githurai Ward
0211GNK,Ngara Ward Ward
0211GRF,Parklands/highridge Ward
0211HIA,Mihango Ward
0211HIP,Ruai Ward
0211HNE,Karura Ward
0211HNT,Clay City
0211HNU,Mihango Ward
0211HWS,Zimmerman Ward
0211IAU,Karura Ward
0211IBR,Karura Ward
0211IEV,Roysambu Ward
0211IGB,Pangani Ward
0211IGH,Githurai Ward
0211IHH,Ngara Ward Ward
0211IIU,Zimmerman Ward
0211INS,Karura Ward
0211INT,Babandogo
0211IRA,Karura Ward
0211IUS,Ruai Ward
0211IVE,Roysambu Ward
0211IVO,Dandora Area Iii Ward
0211I/Y,Roysambu Ward
0211JKT,Kahawa West
0211JUJ,Kahawa West
0211KAH,Kahawa West
0211KAZ,Mihango Ward
0211KCA,Roysambu Ward
0211KDO,Zimmerman Ward
0211KEI,Ngara Ward Ward
0211KEO,Mwiki Ward
0211KIP,Roysambu Ward
0211KIU,Karura Ward
0211KMJ,Nairobi Central Ward
0211KNI,Kariobangi North Ward
0211KPO,Karura Ward
0211KRD,Kahawa West
0211KRE,Kahawa West
0211KRM,Mlango Kubwa
0211KST,Zimmerman Ward
0211K.U,Kahawa West
0211LIB,Pipeline Ward
0211LIT,Ruai Ward
0211LMU,Karura Ward
0211LND,Parklands/highridge Ward
0211LOA,Pipeline Ward
0211LTI,Utalii Ward
0211MBS,Karura Ward
0211MEV,Karura Ward
0211MNG,Ruai Ward
0211MOO,Ruai Ward
0211MRT,Kasarani Ward
0211MTG,Roysambu Ward
0211MUU,Karura Ward
0211NAS,Kasarani Ward
0211NDA,Babandogo
0211NDK,Pipeline Ward
0211NGE,Kahawa West
0211NGI,Karura Ward
0211NGR,Ngara Ward Ward
0211NIC,Roysambu Ward
0211NIJ,Karura Ward
0211NIV,Utawala Ward
0211NNO,Clay City
0211NOR,Clay City
0211NPA,Karura Ward
