stop_id,lat,lon,ward,is_existing_stop,nearest_node_degree,road_type,distance_to_major_road,distance_to_nearest_stop,stops_within_500m,stops_within_1km,pop_not_served_nearby,poverty_rate_weighted_pop,route_count_serving,trips_per_day,avg_headway_minutes,service_span_hours,routes_within_500m,avg_speed_daily,avg_speed_peak,avg_speed_offpeak,congestion_pct_daily,congestion_pct_peak,trip_count_daily,trip_count_peak,demand_variability_cv,dominant_congestion_level,ward_pct_access,ward_population,ward_poverty_rate,is_benchmark_ward,ward_category,distance_to_cbd,coverage_efficiency_nearby,demand_supply_ratio,network_accessibility,is_good_stop,pop_within_500m,subcounty_gini,trips_per_1k_pop_per_hour,pop_score,coverage_score,access_score,poverty_score,quality_score
CANDIDATE_Eastleigh North Ward_36,-1.2600626853549055,36.85375068093889,Eastleigh North Ward,False,6,unclassified,293.8527579243732,421.2339335255282,7,36,0,4595.605072270268,0,0,1440.0,0,13,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,55218.35350780989,9.3,True,well_served,5.008645573510068,2.702702702702702,49415.0,0.0203491398291039,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.025799961676741864,0.9603133044564994,0.2330738078363591,0.37338002868904796
CANDIDATE_Eastleigh North Ward_37,-1.2758342002950325,36.85847623714177,Eastleigh North Ward,False,6,unclassified,676.82498276908,972.2221123042186,0,2,0,4595.605072270268,0,0,1440.0,0,0,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,55218.35350780989,9.3,True,well_served,4.736580489022876,33.333333333333336,49415.0,0.0088518425146983,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.33249256633406393,0.908401769418849,0.2330738078363591,0.4396708728458484
CANDIDATE_Eastleigh North Ward_38,-1.2757386527428454,36.84452553956568,Eastleigh North Ward,False,2,residential,110.3984718444958,521.4437286336139,0,49,0,4595.605072270268,0,0,1440.0,0,2,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,55218.35350780989,9.3,True,well_served,3.26083026137348,2.0,49415.0,0.0179535676467075,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.01876407251107389,0.9508720051868854,0.2330738078363591,0.3697327965437083
CANDIDATE_Eastleigh North Ward_39,-1.2741371490086928,36.83696171866876,Eastleigh North Ward,False,6,residential,182.9661869407618,443.3050277475299,12,58,0,4595.605072270268,0,0,1440.0,0,11,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,55218.35350780989,9.3,True,well_served,2.585630151636674,1.694915254237288,49415.0,0.0326146891435654,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.015709377475653503,0.9582338689528841,0.2330738078363591,0.37044149553805283
CANDIDATE_Eastleigh North Ward_40,-1.2889077182682245,36.84965797350856,Eastleigh North Ward,False,2,residential,262.3493980994676,318.8919022991142,6,33,0,4595.605072270268,0,0,1440.0,0,16,17.243300893072206,11.884733802396095,20.1012033414328,63.47116048203005,93.75,190,84.0,0.5831369347890785,congested,100.0,55218.35350780989,9.3,True,well_served,3.61900912936123,2.9411764705882355,49415.0,0.0075944734046614,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.028187706868710638,0.9699554930631776,0.2330738078363591,0.3759054027083758
CANDIDATE_Eastleigh North Ward_41,-1.2734122852897294,36.85401485052503,Eastleigh North Ward,False,2,residential,525.7280670847983,412.5975383287484,2,31,0,4595.605072270268,0,0,1440.0,0,3,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,55218.35350780989,9.3,True,well_served,4.33993347376234,3.125,49415.0,0.0037970256855099,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.030028260454186568,0.9611269853105068,0.2330738078363591,0.3745998395542107
CANDIDATE_Eastleigh North Ward_42,-1.2832285035570732,36.84840681642476,Eastleigh North Ward,False,6,unclassified,156.92474374609583,303.9384931487519,8,18,0,4595.605072270268,0,0,1440.0,0,3,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,55218.35350780989,9.3,True,well_served,3.48704552281128,5.2631578947368425,49415.0,0.0379927797106103,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.05143680479051182,0.971364333493769,0.2330738078363591,0.38199944527494445
CANDIDATE_Eastleigh North Ward_43,-1.2631264854703736,36.840909213865935,Eastleigh North Ward,False,3,trunk,32.639290115061115,327.985192118396,17,64,0,4595.605072270268,0,0,1440.0,0,18,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,55218.35350780989,9.3,True,well_served,3.693789489338342,1.5384615384615383,49415.0,0.0891814300997044,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.014142867201078947,0.9690987657299207,0.2330738078363591,0.3722228473248166
CANDIDATE_Eastleigh North Ward_44,-1.2850889674864183,36.85457853316827,Eastleigh North Ward,False,8,residential,328.77295141971297,331.962045232535,5,21,0,4595.605072270268,0,0,1440.0,0,1,17.243300893072206,11.884733802396095,20.1012033414328,63.47116048203005,93.75,190,84.0,0.5831369347890785,congested,100.0,55218.35350780989,9.3,True,well_served,4.15781323150007,4.545454545454546,49415.0,0.0242591151444016,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.044250719978318726,0.9687240851873512,0.2330738078363591,0.37967487441061265
CANDIDATE_Eastleigh North Ward_45,-1.279885419856621,36.85687302849619,Eastleigh North Ward,False,8,residential,451.8536080332028,716.679254879957,0,10,0,4595.605072270268,0,0,1440.0,0,0,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,55218.35350780989,9.3,True,well_served,4.469427034745246,9.090909090909092,49415.0,0.0176657530338445,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.08976259045554165,0.9324778249636434,0.2330738078363591,0.3838035899851767
CANDIDATE_Eastleigh North Ward_46,-1.2586123589378,36.851538144918,Eastleigh North Ward,False,6,unclassified,123.5149471527427,478.9381325030164,3,34,0,4595.605072270268,0,0,1440.0,0,13,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,55218.35350780989,9.3,True,well_served,4.911090648778264,2.857142857142857,49415.0,0.0481869858776054,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.027346310943921644,0.9548766841034471,0.2330738078363591,0.3726792919352325
CANDIDATE_Eastleigh North Ward_47,-1.2830319163564738,36.85625837827471,Eastleigh North Ward,False,6,residential,562.4517332938948,571.9398465971623,0,19,0,4595.605072270268,0,0,1440.0,0,0,17.243300893072206,11.884733802396095,20.1012033414328,63.47116048203005,93.75,190,84.0,0.5831369347890785,congested,100.0,55218.35350780989,9.3,True,well_served,4.358123440233404,5.0,49415.0,0.0106486494680289,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.048801907026041015,0.9461144965907111,0.2330738078363591,0.37629075345321517
CANDIDATE_Eastleigh North Ward_48,-1.2765599728040888,36.85281289751221,Eastleigh North Ward,False,8,residential,223.5139510456281,401.1051063640744,4,18,0,4595.605072270268,0,0,1440.0,0,4,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,55218.35350780989,9.3,True,well_served,4.10740010941702,5.2631578947368425,49415.0,0.0356325295721785,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.05143680479051182,0.9622097486211905,0.2330738078363591,0.3801685283004287
CANDIDATE_Eastleigh North Ward_49,-1.273092824769977,36.836998361657066,Eastleigh North Ward,False,2,residential,143.16586648589202,328.14869959817946,9,64,0,4595.605072270268,0,0,1440.0,0,9,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,55218.35350780989,9.3,True,well_served,2.652087619690933,1.5384615384615383,49415.0,0.0138729093699562,1,49415,0.2187157501793953,5.65029524025688,0.36643604517511663,0.014142867201078947,0.9690833608181775,0.2330738078363591,0.3722197663424679
CANDIDATE_Kariobangi South Ward_0,-1.256663882148109,36.88596046699251,Kariobangi South Ward,False,6,residential,523.8148960456589,417.75476850835264,2,73,0,2890.379343947788,0,0,1440.0,0,8,17.845377654040565,11.606875140660836,20.96462891073044,57.8859819316018,91.796875,574,247.0,0.4245573366979223,moderate,100.0,80891.31265297219,6.4,True,well_served,8.32842595786,1.351351351351351,45162.0,0.0114326023236162,1,45162,0.0838307335300991,13.054553886772654,0.3348980000444929,0.012269405588918834,0.960641095149017,0.1456444695993562,0.3415387643624768
CANDIDATE_Kariobangi South Ward_1,-1.281440797775586,36.87569978602824,Kariobangi South Ward,False,6,residential,350.6739548100947,340.1191640289861,24,63,0,2890.379343947788,0,0,1440.0,0,5,18.054313199966053,11.514724616707694,21.324107491595232,57.35551818750744,93.22916666666669,394,160.0,0.5289229448015942,congested,100.0,80891.31265297219,6.4,True,well_served,6.526583806005901,1.5625,45162.0,0.0170612577870318,1,45162,0.0838307335300991,13.054553886772654,0.3348980000444929,0.014383554977641187,0.9679555595192564,0.1456444695993562,0.3435301945837053
CANDIDATE_Kariobangi South Ward_2,-1.261027070765294,36.89618574263521,Kariobangi South Ward,False,6,residential,426.3841023332808,436.6519824478048,4,31,0,2890.379343947788,0,0,1440.0,0,7,17.845377654040565,11.606875140660836,20.96462891073044,57.8859819316018,91.796875,574,247.0,0.4245573366979223,moderate,100.0,80891.31265297219,6.4,True,well_served,9.222779853716904,3.125,45162.0,0.0140388937427558,1,45162,0.0838307335300991,13.054553886772654,0.3348980000444929,0.030028260454186568,0.9588606878348233,0.1456444695993562,0.345622396615955
CANDIDATE_Kariobangi South Ward_3,-1.2611766456271318,36.90424037908335,Kariobangi South Ward,False,6,residential,337.47572856502023,329.8227592645532,11,70,0,2890.379343947788,0,0,1440.0,0,6,17.845377654040565,11.606875140660836,20.96462891073044,57.8859819316018,91.796875,574,247.0,0.4245573366979223,moderate,100.0,80891.31265297219,6.4,True,well_served,10.074347012364598,1.408450704225352,45162.0,0.0177265295371021,1,45162,0.0838307335300991,13.054553886772654,0.3348980000444929,0.012841119226432484,0.968925638728352,0.1456444695993562,0.3433386014877223
