stop_id,lat,lon,ward,is_existing_stop,nearest_node_degree,is_intersection,road_type,distance_to_major_road,distance_to_nearest_stop,distance_to_2nd_nearest,distance_to_3rd_nearest,avg_spacing_3_nearest,spacing_regularity,stops_within_500m,stops_within_1km,stop_density_1km,pop_density_500m,pop_not_served_nearby,poverty_rate_weighted_pop,route_count_serving,trips_per_day,trips_per_hour_peak,trips_per_hour_offpeak,avg_headway_minutes,service_span_hours,routes_within_500m,avg_speed_daily,avg_speed_peak,avg_speed_offpeak,congestion_pct_daily,congestion_pct_peak,trip_count_daily,trip_count_peak,demand_variability_cv,dominant_congestion_level,ward_pct_access,ward_population,ward_pop_density,ward_poverty_rate,ward_pop_not_served,is_benchmark_ward,ward_service_per_capita,ward_category,distance_to_cbd,coverage_efficiency_nearby,demand_supply_ratio,network_accessibility,equity_score,is_good_stop,pop_within_200m,pop_within_500m,pop_within_1km
CANDIDATE_Mihango Ward_46,-1.245153650965778,36.97854520048501,Mihango Ward,False,2,False,residential,1104.1754245103903,1158.1047174860155,1230.1734873674716,1241.6182510434007,1209.9654852989627,36.96755408472656,0,0,0.0,1474.28,4505,83.3685699120185,0,0,0.0,0.0,,0,0,17.758226651154608,11.544293375330827,21.582185590123085,53.57142857142857,87.5,44,19.0,0.46155003399409034,moderate,31.730519977659196,22000.26396561969,1474.28,7.2,15019.0,False,26.72695204561549,severely_underserved,18.513481373704874,31.730519977659196,1157.0,0.001809667456988587,375575.40745364333,0,,1157,4631
CANDIDATE_Mihango Ward_47,-1.276268045203037,36.95025064772549,Mihango Ward,False,6,True,residential,1189.2772418912139,1188.4336071857028,1188.4709441749492,1191.9074250633219,1189.6039921413246,1.6288443617683899,0,0,0.0,1474.28,4505,83.3685699120185,0,0,0.0,0.0,,0,0,17.845377654040565,11.606875140660836,20.964628910730433,57.8859819316018,91.796875,574,247.0,0.42455733669792234,moderate,31.730519977659196,22000.26396561969,1474.28,7.2,15019.0,False,26.72695204561549,severely_underserved,14.833703006532543,31.730519977659196,1157.0,0.005040842409510148,375575.40745364333,0,,1157,4631
CANDIDATE_Mihango Ward_48,-1.24192412603065,36.98050309642285,Mihango Ward,False,2,False,residential,974.8294332428392,981.50386571277,998.4651296496327,1032.0371092153798,1004.0020348592608,20.998335873727708,0,2,0.6366197723675814,1474.28,4505,83.3685699120185,0,0,0.0,0.0,,0,0,17.758226651154608,11.544293375330827,21.582185590123085,53.57142857142857,87.5,44,19.0,0.46155003399409034,moderate,31.730519977659196,22000.26396561969,1474.28,7.2,15019.0,False,26.72695204561549,severely_underserved,18.815621809891613,10.576839992553065,1157.0,0.0020495385073123653,375575.40745364333,0,,1157,4631
CANDIDATE_Mihango Ward_49,-1.2981743912417945,36.948898492731075,Mihango Ward,False,2,False,residential,789.1865239293148,780.3768715246678,788.6983351149258,791.5032402387839,786.8594822927924,4.724761367287327,0,12,3.819718634205488,1474.28,4505,83.3685699120185,0,0,0.0,0.0,,0,0,16.372853708719283,11.665944731412583,19.510793026923754,66.66666666666666,91.66666666666667,58,23.0,0.5384139285834049,congested,31.730519977659196,22000.26396561969,1474.28,7.2,15019.0,False,26.72695204561549,severely_underserved,14.698904138874207,2.4408092290507075,1157.0,0.0025310479734009074,375575.40745364333,0,,1157,4631
CANDIDATE_Pipeline Ward_0,-1.3239264398656128,36.914959852336544,Pipeline Ward,False,3,True,primary,628.3241778713991,767.5742757553,781.1056789743045,786.228304475481,778.3027530683618,7.869158874957646,0,11,3.5014087480216975,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,17.95428871024195,11.727983489233942,21.067441320745957,57.05751424501424,91.34615384615384,157,71.0,0.49145488467534104,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,11.641139037777462,5.033083481250964,4986.0,0.004767018502526122,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_1,-1.3101546878901396,36.8843943344867,Pipeline Ward,False,2,False,residential,597.4584707909304,512.1626644775727,535.8683733282969,561.0662227405845,536.3657535154847,19.967891609346307,0,20,6.366197723675814,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,1,23.153712807789017,15.270454673240636,27.358117146214813,40.53008159785654,88.23529411764706,250,102.0,0.5267625854793785,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,7.923015713920061,2.8760477035719796,4986.0,0.0033419194440622996,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_2,-1.3082477731015958,36.89462528977192,Pipeline Ward,False,6,True,residential,401.80090235531867,400.5415319059806,415.2033502281869,425.8450383439909,413.8633068260528,10.373480507342087,7,32,10.185916357881302,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,5,17.95428871024195,11.727983489233942,21.067441320745957,57.05751424501424,91.34615384615384,157,71.0,0.49145488467534104,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,8.943368445409098,1.8302121750003506,4986.0,0.014895696521323283,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_3,-1.307457827879508,36.89381280467361,Pipeline Ward,False,6,True,residential,385.8972228493774,368.9521998178586,389.3678275188277,401.5962145459466,386.638747294211,13.465853941140706,8,37,11.777465788800255,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,5,17.95428871024195,11.727983489233942,21.067441320745957,57.05751424501424,91.34615384615384,157,71.0,0.49145488467534104,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,8.832788446158311,1.589394783552936,4986.0,0.015507994489626654,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_4,-1.3194304605824492,36.887672930303864,Pipeline Ward,False,6,True,residential,897.1334807282891,505.94442953762405,506.4557845360289,591.0504856816747,534.4835665851092,39.99939685413299,0,27,8.594366926962348,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,1,23.153712807789017,15.270454673240636,27.358117146214813,40.53008159785654,88.23529411764706,250,102.0,0.5267625854793785,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,8.652421080465272,2.1570357776789844,4986.0,0.006680521468963221,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_5,-1.3481432065729764,36.91314880166543,Pipeline Ward,False,2,False,unclassified,236.52180184046097,649.050325660659,939.7915849166435,973.2954402507154,854.0457836093393,145.59757419053716,0,4,1.2732395447351628,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,22.032829285274797,16.471290048572804,25.4553149693991,44.24242424242424,87.5,114,42.0,0.49256825899300866,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,12.68476804877645,12.079400355002313,4986.0,0.00842027967328811,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_6,-1.336456071303276,36.90198051098648,Pipeline Ward,False,3,True,trunk,593.1519235956091,732.4080375048061,786.9904218866319,853.7200695272338,791.0395096395572,49.60812172803831,0,9,2.864788975654116,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,17.906847137299025,11.406366449662858,21.157087481117106,57.709691248294185,93.33333333333333,371,147.0,0.31545068811941945,moderate,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,10.945546412956356,6.039700177501157,4986.0,0.005049213645299676,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_7,-1.3337382775691118,36.89782901757665,Pipeline Ward,False,3,True,trunk,534.0186462926016,502.9296305769884,548.6107501816656,562.2526929828085,537.9310245804876,25.36860050651265,0,32,10.185916357881302,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,3,17.906847137299025,11.406366449662858,21.157087481117106,57.709691248294185,93.33333333333333,371,147.0,0.31545068811941945,moderate,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,10.394526732889473,1.8302121750003506,4986.0,0.005607281205596152,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_8,-1.347246036026047,36.895105058406685,Pipeline Ward,False,2,False,tertiary,672.6558336217753,809.6620119971035,840.1514661673111,898.9764183930054,849.5966321858067,37.0690721788464,0,3,0.954929658551372,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,17.906847137299025,11.406366449662858,21.157087481117106,57.709691248294185,93.33333333333333,371,147.0,0.31545068811941945,moderate,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,10.989880348997923,15.099250443752892,4986.0,0.0029688750548590988,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_9,-1.326307468212953,36.91644383741193,Pipeline Ward,False,3,True,primary,938.4051976974524,959.158161233867,972.3217858052856,973.7402316734016,968.406726237518,6.565311017779402,0,7,2.228169203286535,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,19.463223831064525,14.11254895865543,22.31691709634938,52.48447204968944,89.28571428571429,175,85.0,0.5220497459808815,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,11.89152962649961,7.549625221876446,4986.0,0.003193510114009598,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_10,-1.3095214862329696,36.88589907599972,Pipeline Ward,False,6,True,unclassified,500.7110791736056,477.90719975566776,508.8014588310134,532.9597678307531,506.5561421391447,22.531125111728798,1,25,7.957747154594767,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,5,23.153712807789017,15.270454673240636,27.358117146214813,40.53008159785654,88.23529411764706,250,102.0,0.5267625854793785,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,8.058176337060543,2.322961606731214,4986.0,0.011959074154557065,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_11,-1.3534293582986259,36.89272900288301,Pipeline Ward,False,2,False,tertiary,1315.71646400555,1311.2742676907596,1344.3643307236832,1375.2462657748952,1343.6282880631127,26.121644330807285,0,0,0.0,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,17.8342114079884,11.373177187079955,21.06472851844262,60.85374116624117,95.0,178,69.0,0.36057291785681433,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,11.227129673517352,60.39700177501157,4986.0,0.0015189298946835146,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_12,-1.3554305358923298,36.893033782975124,Pipeline Ward,False,2,False,tertiary,1435.2497824521608,1412.3507844786131,1426.2154876938741,1430.1139111547088,1422.8933944423989,7.622746443217582,0,0,0.0,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,17.8342114079884,11.373177187079955,21.06472851844262,60.85374116624117,95.0,178,69.0,0.36057291785681433,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,11.401097760567076,60.39700177501157,4986.0,0.0013925154415587295,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_13,-1.3438160690787566,36.91726999470474,Pipeline Ward,False,3,True,secondary,222.34382375154448,760.0279655861157,762.5374794732228,812.5409487563664,778.3687979385683,24.185068859706984,0,5,1.5915494309189535,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,22.032829285274797,16.471290048572804,25.4553149693991,44.24242424242424,87.5,114,42.0,0.49256825899300866,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,12.826195324561512,10.066166962501928,4986.0,0.013432204883074382,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_14,-1.3503685795112343,36.89245476032169,Pipeline Ward,False,2,False,tertiary,1124.9814099190814,1177.3530314901598,1283.5650387605303,1288.812282912701,1249.9101177211303,51.35030973320739,0,0,0.0,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,17.8342114079884,11.373177187079955,21.06472851844262,60.85374116624117,95.0,178,69.0,0.36057291785681433,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,10.980891439613673,60.39700177501157,4986.0,0.001776228259526709,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_15,-1.3191679153043165,36.911328138236634,Pipeline Ward,False,3,True,primary,139.0248141904751,420.55639943880703,427.90510749834584,433.8637322483357,427.44174639516285,5.4425670573021945,4,16,5.092958178940651,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,4,17.95428871024195,11.727983489233942,21.067441320745957,57.05751424501424,91.34615384615384,157,71.0,0.49145488467534104,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,11.08009458875628,3.552764810294798,4986.0,0.021424774011262845,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_16,-1.3327817416734704,36.899496936718215,Pipeline Ward,False,4,True,primary,740.4736721388365,706.875167700972,761.6159932226352,774.3828508455471,747.6246705897182,29.281844803573748,0,32,10.185916357881302,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,17.906847137299025,11.406366449662858,21.157087481117106,57.709691248294185,93.33333333333333,371,147.0,0.31545068811941945,moderate,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,10.502190825424165,1.8302121750003506,4986.0,0.005394662211622025,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_17,-1.3187280776933696,36.890082033090295,Pipeline Ward,False,8,True,unclassified,620.4144604766916,607.3718988889678,617.1005057024097,625.700586335666,616.7243303090146,7.487381688531475,0,42,13.36901521971921,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,23.153712807789017,15.270454673240636,27.358117146214813,40.53008159785654,88.23529411764706,250,102.0,0.5267625854793785,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,8.863672812114084,1.404581436628176,4986.0,0.0128738555486191,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_18,-1.3382060233958157,36.90734100862282,Pipeline Ward,False,4,True,unclassified,844.575212338761,476.42723070866987,734.9041049234178,843.2252788410992,684.8522048243957,153.87028423552496,1,5,1.5915494309189535,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,1,17.906847137299025,11.406366449662858,21.157087481117106,57.709691248294185,93.33333333333333,371,147.0,0.31545068811941945,moderate,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,11.558392060275079,10.066166962501928,4986.0,0.0047305076374418225,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_19,-1.3248716760796242,36.907022288923756,Pipeline Ward,False,4,True,secondary,597.3154779338585,549.7991996932124,609.6711540097286,615.3911516622821,591.6205017884076,29.664182386502166,0,17,5.411268065124442,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,1,17.95428871024195,11.727983489233942,21.067441320745957,57.05751424501424,91.34615384615384,157,71.0,0.49145488467534104,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,10.862967148113736,3.3553889875006426,4986.0,0.006685436274878025,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_20,-1.3371962927926468,36.90310009003298,Pipeline Ward,False,3,True,trunk,611.6763968188623,674.5713082385603,771.1561146709819,906.6624840212751,784.129968976939,95.19390435917245,0,5,1.5915494309189535,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,17.906847137299025,11.406366449662858,21.157087481117106,57.709691248294185,93.33333333333333,371,147.0,0.31545068811941945,moderate,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,11.094568806654344,10.066166962501928,4986.0,0.0048965490029917865,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_21,-1.3266841326781487,36.91475695690213,Pipeline Ward,False,3,True,primary,907.8859105792143,997.808360417244,1054.453952724344,1059.780417714196,1037.347576951928,28.04288430784178,0,1,0.3183098861837907,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,19.463223831064525,14.11254895865543,22.31691709634938,52.48447204968944,89.28571428571429,175,85.0,0.5220497459808815,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,11.733685002523906,30.198500887505784,4986.0,0.0033007443124386886,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_22,-1.3478728076209259,36.88587307596724,Pipeline Ward,False,2,False,tertiary,1335.1243861521318,1464.9379929242523,1469.7469714614792,1514.853716719615,1483.1795603684488,22.482892815968142,0,0,0.0,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,0,17.906847137299025,11.406366449662858,21.157087481117106,57.709691248294185,93.33333333333333,371,147.0,0.31545068811941945,moderate,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,10.247084704285884,60.39700177501157,4986.0,0.0014968666246409478,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_23,-1.3389879725473985,36.89781145712745,Pipeline Ward,False,3,True,motorway,236.7819301219134,374.94236482492215,400.4458499852902,464.0973928356652,413.1618692152925,37.4915778426074,3,15,4.7746482927568605,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,3,17.906847137299025,11.406366449662858,21.157087481117106,57.709691248294185,93.33333333333333,371,147.0,0.31545068811941945,moderate,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,10.700332952400155,3.774812610938223,4986.0,0.012616602104549606,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_24,-1.3521563091502815,36.9092360011813,Pipeline Ward,False,2,False,unclassified,343.58650504634744,382.3956802718723,386.38012967232606,415.88696508594836,394.8875916767156,14.937630823783905,3,11,3.5014087480216975,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,2,22.032829285274797,16.471290048572804,25.4553149693991,44.24242424242424,87.5,114,42.0,0.49256825899300866,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,12.575367799897906,5.033083481250964,4986.0,0.005804057822087365,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_25,-1.3026712926232846,36.89060066977895,Pipeline Ward,False,6,True,residential,267.9370804413282,326.4778110192252,342.9701519344832,347.23751841097584,338.8951604548947,8.951555895180656,11,51,16.233804195373324,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,8,17.95428871024195,11.727983489233942,21.067441320745957,57.05751424501424,91.34615384615384,157,71.0,0.49145488467534104,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,8.357882468825999,1.161480803365607,4986.0,0.02231005107274142,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_26,-1.3193566983604041,36.91512519366598,Pipeline Ward,False,3,True,primary,292.59032385793586,388.285536290031,398.94815281023017,410.28988722995524,399.17452544340546,8.984664657018797,8,22,7.002817496043395,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,6,17.95428871024195,11.727983489233942,21.067441320745957,57.05751424501424,91.34615384615384,157,71.0,0.49145488467534104,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,11.48624194765571,2.6259565989135463,4986.0,0.010218320415258839,3274782.6075785956,0,,4986,19945
CANDIDATE_Pipeline Ward_27,-1.3173749811644155,36.911065027909,Pipeline Ward,False,4,True,unclassified,219.01144511007686,438.31247306538836,451.5093429367409,461.93822174593976,450.58667924935634,9.66721198654357,4,19,6.047887837492023,6348.89,4759,688.1241032945147,0,0,0.0,0.0,,0,4,17.95428871024195,11.727983489233942,21.067441320745957,57.05751424501424,91.34615384615384,157,71.0,0.49145488467534104,congested,60.39700177501157,40062.52343641133,6348.89,13.8,15866.0,False,26.791455985965698,underserved,10.988368257559381,3.0198500887505784,4986.0,0.018180872354157333,3274782.6075785956,0,,4986,19945
