ward,county,subcounty,population,ward_area_km2,coverage_area_km2,coverage_ratio,pop_served,pop_not_served,pct_access
Utawala Ward,Nairobi,Embakasi East Sub County,26083.793400018483,2.764330650734734,2.3431183810253486,0.8476259453269707,22109,3974,84.76
Makongeni Ward,Nairobi,Makadara  Sub County,27239.29778072184,1.7455973530927964,1.453090526805126,0.8324316740229837,22675,4564,83.24
Nyayo Highrise Ward,Nairobi,Langata  Sub County,23400.367568367998,0.3903395959761345,0.3227899012539924,0.8269463425732703,19351,4050,82.69
Kwa Njenga Ward,Nairobi,Embakasi South Sub County,50138.37407016672,0.3799043313203138,0.3059194307991689,0.8052538641399036,40374,9764,80.53
Mowlem Ward,Nairobi,Embakasi West Sub County,62819.89166655838,3.4145128289681876,2.739092595528144,0.8021913323300808,50394,12426,80.22
Kilimani Ward,Nairobi,Dagoretti North Sub County,142658.5972963719,16.06078519531074,12.833488686341488,0.7990573642743491,113992,28666,79.91
Eastleigh South Ward,Nairobi,Kamukunji  Sub County,68143.70069639628,1.0385718754246935,0.8139322310683946,0.7837033240819861,53404,14739,78.37
Hospital Ward,Nairobi,Mathare  Sub County,39231.09369567416,0.816966016699333,0.6386958840486101,0.7817900267492627,30670,8561,78.18
Sarang'ombe Ward,Nairobi,Kibra  Sub County,77355.9452208662,1.036136575325386,0.7700602761545734,0.7432034487468463,57491,19865,74.32
Imara Daima Ward,Nairobi,Embakasi South Sub County,92557.21147751193,3.9143917294496924,2.646837128113787,0.6761809525092918,62585,29972,67.62
Ngando Ward,Nairobi,Dagoretti South Sub County,28020.643468093764,3.1623642754094776,2.041478239826792,0.6455544213237266,18089,9932,64.56
Dandora Area Iii Ward,Nairobi,Embakasi North Sub County,73507.78889000125,1.2444706604595928,0.7782756507900911,0.6253869018516418,45971,27537,62.54
Upper Savanna Ward,Nairobi,Embakasi East Sub County,22624.401325207877,1.3198307808812781,0.8200914349362924,0.6213610462916318,14058,8566,62.14
Mountain View Ward,Nairobi,Westlands  Sub County,53352.875177465976,3.076269368362511,1.8822906702678415,0.6118744637989161,32645,20708,61.19
Pipeline Ward,Nairobi,Embakasi South Sub County,40062.52343641133,6.310158835892521,3.8111467441200553,0.6039700177501157,24197,15866,60.4
Kasarani Ward,Nairobi,Kasarani  Sub County,163944.92175693653,6.157557294661502,3.6644351933314954,0.5951118305482108,97566,66379,59.51
Clay City,Nairobi,Kasarani  Sub County,59710.23367322085,5.51248993612617,3.271553317844536,0.5934801434111239,35437,24273,59.35
Matopeni/spring Valley Ward,Nairobi,Embakasi Central Sub County,15205.42326080414,1.0265449857055167,0.602879635017567,0.5872900295774415,8930,6275,58.73
Kitisuru Ward,Nairobi,Westlands  Sub County,154593.60933689412,21.305054698455326,12.504979317710372,0.5869489421501939,90739,63855,58.69
Nairobi West Ward,Nairobi,Langata  Sub County,76676.38743229359,6.906178244978813,3.922121835350682,0.567914944593602,43546,33131,56.79
Gatina Ward,Nairobi,Dagoretti North Sub County,45919.74288559071,1.5080858680251916,0.8443228357488488,0.5598639000937479,25709,20211,55.99
Dandora Area Iv Ward,Nairobi,Embakasi North Sub County,79908.63132479833,0.7032639549073183,0.3759298950463959,0.5345502103771818,42715,37193,53.46
South C Ward,Nairobi,Langata  Sub County,70344.6251026133,15.098860479032759,7.965725076472632,0.5275712751657217,37112,33233,52.76
Roysambu Ward,Nairobi,Roysambu  Sub County,110098.7167953836,22.36759251976436,11.755976692285257,0.5255807786151991,57866,52233,52.56
Karura Ward,Nairobi,Westlands  Sub County,136158.56870400644,38.140881033163616,19.65800399679883,0.5154050841066343,70177,65982,51.54
Kware Ward,Nairobi,Embakasi South Sub County,84201.81483317129,0.9493265553868023,0.4767665487049675,0.5022155400579829,42287,41914,50.22
Kahawa,Nairobi,Roysambu  Sub County,66325.31993700916,2.7800923903801285,1.3917826785765763,0.5006246135533197,33204,33121,50.06
Uthiru/ruthimitu Ward,Nairobi,Dagoretti South Sub County,54875.67677571843,7.897694105907026,3.9368338255430197,0.49847889431403686,27354,27521,49.85
Njiru Ward,Nairobi,Kasarani  Sub County,69402.06821576251,8.032794965014233,3.792955197372609,0.47218374350301723,32771,36632,47.22
Airbase Ward,Nairobi,Kamukunji  Sub County,105433.25515722662,5.031615029690383,2.315321096907023,0.4601546587417469,48516,56918,46.02
Waithaka Ward,Nairobi,Dagoretti South Sub County,33981.409843591384,4.975064802472608,2.0149516372700504,0.4050101289672889,13763,20219,40.5
