cell_id,lon,lat,inside_nairobi,population_raw,population_corrected
347,36.771546406368046,-1.2314283253787104,True,21874.1015625,6607.512681276043
348,36.77326011687966,-1.2269768600023772,True,12692.447265625,3834.0091831620625
349,36.78661873538277,-1.2320961897913398,True,5016.701171875,1515.3955702648734
350,36.79984776279317,-1.2257949616092076,True,3760.853515625,1136.0415067065123
351,36.80318243362649,-1.2269728129838944,True,4596.580078125,1388.4895372699611
352,36.81590689622863,-1.227789106755223,True,4063.318603515625,1227.4071748309939
353,36.81877832244927,-1.232436310710734,True,3164.988037109375,956.0483447301433
354,36.83536884026752,-1.2284956518378054,True,3276.37109375,989.693839020703
355,36.83962095414973,-1.2286711943501738,True,3189.681640625,963.5075447301842
356,36.846462389864044,-1.2249213116718412,True,2407.337646484375,727.1847934787028
357,36.857883091662366,-1.2317550812449403,True,2520.42626953125,761.345488433658
358,36.865516598355086,-1.2326641836449277,True,8216.81640625,2482.0547920053077
359,36.87515307284789,-1.2276566339364403,True,16641.55078125,5026.915391657408
360,36.88270242173063,-1.224661783330343,True,32600.373046875,9847.598892511372
361,36.891727633529,-1.2269824964292237,True,20386.50390625,6158.153865316289
362,36.900447180141775,-1.2318781499769587,True,20132.583984375,6081.4522417536555
363,36.91336372416261,-1.225929664210867,True,21769.142578125,6575.807707323622
364,36.920847877971205,-1.2277077582056108,True,29189.16796875,8817.175734433646
365,36.93205656859285,-1.231554751756986,True,30823.50390625,9310.859801943398
366,36.9418875758613,-1.2239731644020113,True,16029.5576171875,4842.05053762703
367,36.94505307261059,-1.2305044596195942,True,4622.12255859375,1396.2051576407584
368,36.958344325116734,-1.2312921968624893,False,2269.59716796875,685.5775093616126
369,36.96804493979836,-1.2308335573927145,False,1803.3870849609375,544.7493694349912
370,36.976176530429015,-1.2302339768332848,False,1870.638671875,565.0640649712142
371,36.985120337187524,-1.2249101989902242,False,2765.1865234375,835.2802499111508
372,36.99312035532582,-1.2239245009068336,False,2673.197265625,807.493042934875
373,36.9994247632764,-1.2309889768065767,False,1546.4686279296875,467.1419779708254
374,37.01061519887795,-1.2274811740985443,False,545.3756103515625,164.74168098562842
375,37.02058337854801,-1.2291829752696155,False,509.9427490234375,154.0384719925399
376,37.02404217406767,-1.230590105906549,False,631.8980712890625,190.87753192452305
377,37.03467468684883,-1.2303346186081732,False,698.927001953125,211.12496965858043
378,37.04910697698443,-1.228062917840394,False,546.3073120117188,165.023120226324
379,37.05201643365596,-1.2319199726534398,False,385.03179931640625,116.30660529798327
380,37.06605923432551,-1.229517932526478,False,253.39024353027344,76.54162355670037
381,37.07531972483916,-1.2292646995698415,False,149.81759643554688,45.25542068540317
382,37.081675962215094,-1.229071905845615,False,93.84413146972656,28.347508901238076
383,37.08815503948569,-1.2303037336925955,False,78.83914947509766,23.81495205411252
384,36.67191015310554,-1.2372434260362222,False,23471.271484375,7089.97000565063
385,36.67816711752951,-1.2371316149580498,False,20717.244140625,6258.060610587489
386,36.689228706133086,-1.2367400177766608,False,14261.203125,4307.883468011169
387,36.69652577175538,-1.2327212499743359,False,12343.2646484375,3728.531544935175
388,36.702835483700575,-1.2345175247388709,False,14573.62890625,4402.257964063889
389,36.71901013413359,-1.2374541183819956,False,16069.58203125,4854.140717547014
390,36.725867882910975,-1.237601415871192,False,14848.5830078125,4485.313384998647
391,36.73575785536368,-1.236271115249292,False,13033.958984375,3937.1696721082017
392,36.744615817013084,-1.2331572356761935,False,12501.10546875,3776.210541892281
393,36.75097099992945,-1.234025723846819,True,11227.283203125,3391.4268857608513
394,36.758181173750785,-1.2341530026887668,True,6593.91796875,1991.8256515962719
395,36.77282332930621,-1.240466907850572,True,9070.78515625,2740.013242500568
396,36.77563332648654,-1.236111706630713,True,8639.0419921875,2609.596529226829
397,36.78475115098835,-1.2398918792867433,True,8404.5556640625,2538.765213835665
398,36.795173131307116,-1.2387323535722603,True,6961.4736328125,2102.853238463261
399,36.80223742762509,-1.238116195335668,True,7110.4169921875,2147.8445782469867
400,36.81415501107667,-1.234465837969669,True,5832.623046875,1761.8611963199105
401,36.82192858916249,-1.240771296885027,True,3010.564697265625,909.4016665391712
402,36.834628502432814,-1.2371747967273103,True,2149.534423828125,649.3101407480368
403,36.83815244185568,-1.238814007136022,True,2472.1181640625,746.7530527817909
404,36.851188771453984,-1.2365521520683234,True,3128.07470703125,944.8979303507258
405,36.85847749535637,-1.2369799443605225,True,6729.73046875,2032.850550994391
406,36.86668152544593,-1.2347908365211901,True,34367.26171875,10381.32318159631
407,36.8791265087081,-1.2331117308596033,True,104614.71875,31600.981590658263
408,36.885558581228295,-1.2359287709826003,True,209099.8125,63162.80734084174
409,36.89376624890031,-1.2369559343681598,True,148147.765625,44751.014677012456
410,36.90638579989373,-1.2395720550274583,True,163206.5,49299.80851261207
411,36.90843891727527,-1.23922307816715,True,101330.1875,30608.822812186263
412,36.920528613029845,-1.2415312827442766,True,45410.734375,13717.226391746593
413,36.92531860331882,-1.2360883930515243,True,45704.2890625,13805.90049407542
414,36.94118768090301,-1.2384771342099825,True,33167.578125,10018.934603643855
415,36.9461342357252,-1.2361108350076617,True,18922.544921875,5715.935586019781
416,36.95547718909698,-1.2367465764134167,False,11092.9951171875,3350.862466315278
417,36.968792781196264,-1.2414216989444973,False,7507.66796875,2267.842231992269
418,36.97149065731034,-1.2366559462783657,False,5671.56884765625,1713.21153358199
419,36.98445806432722,-1.2403771097862668,False,5174.2236328125,1562.9784003644968
420,36.98982310240479,-1.2396085724917991,False,4909.68994140625,1483.0706740701241
421,37.00457577153485,-1.240483210861391,False,3859.966552734375,1165.9805946141362
